x,x,z,p,p
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,https://w3id.org/express#hasString,IsExternal,IsExternal
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcProperty,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,https://w3id.org/express#hasString,IsExternal,IsExternal
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_55467,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_55467,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcProperty,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,https://w3id.org/express#hasString,IsExternal,IsExternal
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_497,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_497,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#hasProperties_IfcPropertySet,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcProperty,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,https://w3id.org/express#hasString,IsExternal,IsExternal
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_629,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_629,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#hasProperties_IfcPropertySet,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcProperty,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,https://w3id.org/express#hasString,IsExternal,IsExternal
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_757,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_757,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#hasProperties_IfcPropertySet,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcProperty,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,https://w3id.org/express#hasString,IsExternal,IsExternal
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_881,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_881,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#hasProperties_IfcPropertySet,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcProperty,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,https://w3id.org/express#hasString,IsExternal,IsExternal
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_1005,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_1005,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#hasProperties_IfcPropertySet,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcProperty,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,https://w3id.org/express#hasString,IsExternal,IsExternal
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_1129,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_1129,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#hasProperties_IfcPropertySet,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcProperty,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,https://w3id.org/express#hasString,IsExternal,IsExternal
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_1253,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_1253,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#hasProperties_IfcPropertySet,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcProperty,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcIdentifier_122133,https://w3id.org/express#hasString,IsExternal,IsExternal
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_1377,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySet_1377,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#hasProperties_IfcPropertySet,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcPropertySingleValue_496
