x,x,z,p,p
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,https://w3id.org/express#hasString,Plan E2,Plan E2
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcRoot,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,https://w3id.org/express#hasString,Plan E2,Plan E2
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcRelAggregates_130,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcRelAggregates_130,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#relatedObjects_IfcRelDecomposes,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcRoot,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,https://w3id.org/express#hasString,Plan E2,Plan E2
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcRelDefinesByProperties_144575,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcRelDefinesByProperties_144575,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#relatedObjects_IfcRelDefines,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcRoot,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,https://w3id.org/express#hasString,Plan E2,Plan E2
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcRelContainedInSpatialStructure_144663,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcRelContainedInSpatialStructure_144663,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#relatingStructure_IfcRelContainedInSpatialStructure,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcRoot,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,https://w3id.org/express#hasString,Plan E2,Plan E2
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcRelAggregates_213276,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcRelAggregates_213276,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#relatingObject_IfcRelDecomposes,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcBuildingStorey_144566,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#name_IfcRoot,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcLabel_244863,https://w3id.org/express#hasString,Plan E2,Plan E2
