Application,IfcApplication
Arbitrary Closed Profile Def,IfcArbitraryClosedProfileDef
Arbitrary Open Profile Def,IfcArbitraryOpenProfileDef
Arbitrary Profile Def With Voids,IfcArbitraryProfileDefWithVoids
Area Measure,IfcAreaMeasure
Axis2 Placement2 D,IfcAxis2Placement2D
Axis2 Placement3 D,IfcAxis2Placement3D
Beam,IfcBeam
Boolean,IfcBoolean
Boolean Clipping Result,IfcBooleanClippingResult
Building,IfcBuilding
Building Storey,IfcBuildingStorey
Cartesian Point,IfcCartesianPoint
Cartesian Point_ List,IfcCartesianPoint_List
Cartesian Transformation Operator3 D,IfcCartesianTransformationOperator3D
Circle,IfcCircle
Circle Profile Def,IfcCircleProfileDef
Colour Rgb,IfcColourRgb
Composite Curve,IfcCompositeCurve
Composite Curve Segment,IfcCompositeCurveSegment
Composite Curve Segment_ List,IfcCompositeCurveSegment_List
Compound Plane Angle Measure,IfcCompoundPlaneAngleMeasure
Connected Face Set,IfcConnectedFaceSet
Connection Surface Geometry,IfcConnectionSurfaceGeometry
Conversion Based Unit,IfcConversionBasedUnit
Covering,IfcCovering
Curve Bounded Plane,IfcCurveBoundedPlane
Curve Style,IfcCurveStyle
Curve Style Font,IfcCurveStyleFont
Curve Style Font Pattern,IfcCurveStyleFontPattern
Curve Style Font Pattern_ List,IfcCurveStyleFontPattern_List
Dimensional Exponents,IfcDimensionalExponents
Dimension Count,IfcDimensionCount
Direction,IfcDirection
Door,IfcDoor
Door Lining Properties,IfcDoorLiningProperties
Door Style,IfcDoorStyle
Draughting Pre Defined Curve Font,IfcDraughtingPreDefinedCurveFont
Element Quantity,IfcElementQuantity
Extruded Area Solid,IfcExtrudedAreaSolid
Face,IfcFace
Face Based Surface Model,IfcFaceBasedSurfaceModel
Face Bound,IfcFaceBound
Face Outer Bound,IfcFaceOuterBound
Fill Area Style,IfcFillAreaStyle
Fill Area Style Hatching,IfcFillAreaStyleHatching
Footing,IfcFooting
Furnishing Element,IfcFurnishingElement
Furniture Type,IfcFurnitureType
Geometric Representation Context,IfcGeometricRepresentationContext
Geometric Representation Sub Context,IfcGeometricRepresentationSubContext
Geometric Set,IfcGeometricSet
Globally Unique Id,IfcGloballyUniqueId
dentifier,IfcIdentifier
nteger,IfcInteger
Label,IfcLabel
Label_ List,IfcLabel_List
Length Measure,IfcLengthMeasure
Length Measure_ List,IfcLengthMeasure_List
Local Placement,IfcLocalPlacement
Mapped Item,IfcMappedItem
Material,IfcMaterial
Material Definition Representation,IfcMaterialDefinitionRepresentation
Material Layer,IfcMaterialLayer
Material Layer Set,IfcMaterialLayerSet
Material Layer Set Usage,IfcMaterialLayerSetUsage
Material Layer_ List,IfcMaterialLayer_List
Measure With Unit,IfcMeasureWithUnit
Member,IfcMember
Normalised Ratio Measure,IfcNormalisedRatioMeasure
Opening Element,IfcOpeningElement
Organization,IfcOrganization
Owner History,IfcOwnerHistory
Parameter Value,IfcParameterValue
Person,IfcPerson
Person And Organization,IfcPersonAndOrganization
Plane,IfcPlane
Plane Angle Measure,IfcPlaneAngleMeasure
Polygonal Bounded Half Space,IfcPolygonalBoundedHalfSpace
Polyline,IfcPolyline
Poly Loop,IfcPolyLoop
Positive Length Measure,IfcPositiveLengthMeasure
Positive Ratio Measure,IfcPositiveRatioMeasure
Postal Address,IfcPostalAddress
Presentation Layer Assignment,IfcPresentationLayerAssignment
Presentation Style Assignment,IfcPresentationStyleAssignment
Product Definition Shape,IfcProductDefinitionShape
Project,IfcProject
Property Set,IfcPropertySet
Property Single Value,IfcPropertySingleValue
Quantity Area,IfcQuantityArea
Railing,IfcRailing
Ratio Measure,IfcRatioMeasure
Real,IfcReal
Rectangle Profile Def,IfcRectangleProfileDef
Rel Aggregates,IfcRelAggregates
Rel Associates Material,IfcRelAssociatesMaterial
Rel Connects Path Elements,IfcRelConnectsPathElements
Rel Contained In Spatial Structure,IfcRelContainedInSpatialStructure
Rel Defines By Properties,IfcRelDefinesByProperties
Rel Defines By Type,IfcRelDefinesByType
Rel Fills Element,IfcRelFillsElement
Rel Space Boundary,IfcRelSpaceBoundary
Rel Voids Element,IfcRelVoidsElement
Representation Map,IfcRepresentationMap
Representation Map_ List,IfcRepresentationMap_List
Representation_ List,IfcRepresentation_List
Roof,IfcRoof
Shape Representation,IfcShapeRepresentation
Site,IfcSite
S I Unit,IfcSIUnit
Slab,IfcSlab
Space,IfcSpace
Specular Exponent,IfcSpecularExponent
Stair,IfcStair
Stair Flight,IfcStairFlight
Styled Item,IfcStyledItem
Styled Representation,IfcStyledRepresentation
Surface Of Linear Extrusion,IfcSurfaceOfLinearExtrusion
Surface Style,IfcSurfaceStyle
Surface Style Rendering,IfcSurfaceStyleRendering
Trimmed Curve,IfcTrimmedCurve
Unit Assignment,IfcUnitAssignment
Volume Measure,IfcVolumeMeasure
Wall,IfcWall
Wall Standard Case,IfcWallStandardCase
Window,IfcWindow
Window Lining Properties,IfcWindowLiningProperties
